Class,Train,Lý do,Việc cần làm
R.301e,16,Số ảnh train < 30,Ứng viên cho augmentation trực tiếp trên ảnh.
W.205c,17,Số ảnh train < 30,Ứng viên cho augmentation trực tiếp trên ảnh.
I.409,20,Số ảnh train < 30,Ứng viên cho augmentation trực tiếp trên ảnh.
S.505a_Xe máy,20,Số ảnh train < 30,Ứng viên cho augmentation trực tiếp trên ảnh.
S.505a_Xe tải và công,21,Số ảnh train < 30,Ứng viên cho augmentation trực tiếp trên ảnh.
W.239b_,21,Số ảnh train < 30,Ứng viên cho augmentation trực tiếp trên ảnh.
P.124d,23,Số ảnh train < 30,Ứng viên cho augmentation trực tiếp trên ảnh.
W.203c,23,Số ảnh train < 30,Ứng viên cho augmentation trực tiếp trên ảnh.
W.205a,26,Số ảnh train < 30,Ứng viên cho augmentation trực tiếp trên ảnh.
W.225,28,Số ảnh train < 30,Ứng viên cho augmentation trực tiếp trên ảnh.
