Class ID,Train,Val Support,Recall Val (%),F1 Val (%),Chẩn đoán
W.205a,26,3,0.00%,0.00%,"ít mẫu train, Recall Val < 60%, F1 Val < 60%"
W.205c,17,2,0.00%,0.00%,"ít mẫu train, Recall Val < 60%, F1 Val < 60%"
P.124d,23,3,33.33%,25.00%,"ít mẫu train, Recall Val < 60%, F1 Val < 60%"
W.246a,64,8,25.00%,25.00%,"Recall Val < 60%, F1 Val < 60%"
P.107,171,21,28.57%,33.33%,"Recall Val < 60%, F1 Val < 60%"
W.203c,23,3,33.33%,33.33%,"ít mẫu train, Recall Val < 60%, F1 Val < 60%"
I.409,20,3,33.33%,40.00%,"ít mẫu train, Recall Val < 60%, F1 Val < 60%"
P.127_80,168,21,38.10%,42.11%,"Recall Val < 60%, F1 Val < 60%"
W.207,204,26,38.46%,42.55%,"Recall Val < 60%, F1 Val < 60%"
P.104,36,4,50.00%,44.44%,"Recall Val < 60%, F1 Val < 60%"
P.129,44,6,33.33%,44.44%,"Recall Val < 60%, F1 Val < 60%"
W.224,249,31,41.94%,47.27%,"Recall Val < 60%, F1 Val < 60%"
S.505a_Xe tải và công,21,3,33.33%,50.00%,"ít mẫu train, Recall Val < 60%, F1 Val < 60%"
W.239b_,21,3,66.67%,50.00%,"ít mẫu train, F1 Val < 60%"
P.131a,348,43,46.51%,50.63%,"Recall Val < 60%, F1 Val < 60%"
P.117_,58,7,57.14%,53.33%,"Recall Val < 60%, F1 Val < 60%"
P.102,376,47,93.62%,53.99%,F1 Val < 60%
P.124c,176,22,45.45%,57.14%,"Recall Val < 60%, F1 Val < 60%"
S.505a_Xe máy,20,2,100.00%,57.14%,"ít mẫu train, F1 Val < 60%"
W.210,32,4,50.00%,57.14%,"Recall Val < 60%, F1 Val < 60%"
W.225,28,4,50.00%,57.14%,"ít mẫu train, Recall Val < 60%, F1 Val < 60%"
W.201a,145,18,50.00%,58.06%,"Recall Val < 60%, F1 Val < 60%"
B.8a,65,8,62.50%,58.82%,F1 Val < 60%
W.245a,297,37,54.05%,61.54%,Recall Val < 60%
P.127_40,220,27,55.56%,62.50%,Recall Val < 60%
P.127_60,367,46,54.35%,63.29%,Recall Val < 60%
W.221b,104,13,53.85%,70.00%,Recall Val < 60%
R.301e,16,2,100.00%,80.00%,ít mẫu train
